"","j","prior_mu","prior_sigma","prior_weight","log_C","grid","prior_d","post_d","prior_d_jansen"
"2400","2",3,2,0.25,-384.188181051841,-24.032016008004,4.27449906125159e-41,0,0.00570096206253419
"2401","2",3,2,0.25,-384.188181051841,-23.991995997999,5.60087090551918e-41,0,0.00570224262592401
"2402","2",3,2,0.25,-384.188181051841,-23.951975987994,7.33587643977631e-41,4.94065645841247e-324,0.00570352134196591
"2403","2",3,2,0.25,-384.188181051841,-23.911955977989,9.60449558379642e-41,6.91691904177745e-323,0.00570479820928818
"2404","2",3,2,0.25,-384.188181051841,-23.871935967984,1.25696510988509e-40,1.44267168585644e-321,0.00570607322652092
"2405","2",3,2,0.25,-384.188181051841,-23.831915957979,1.64436412443381e-40,3.05283162565306e-320,0.00570734639229597
"2406","2",3,2,0.25,-384.188181051841,-23.791895947974,2.15029909219703e-40,6.42127238586951e-319,0.00570861770524696
"2407","2",3,2,0.25,-384.188181051841,-23.751875937969,2.81077355218516e-40,1.3419326888007e-317,0.00570988716400928
"2408","2",3,2,0.25,-384.188181051841,-23.711855927964,3.67264502031494e-40,2.78650198198969e-316,0.00571115476722011
"2409","2",3,2,0.25,-384.188181051841,-23.671835917959,4.79687230153716e-40,5.74917734356058e-315,0.00571242051351841
"2410","2",3,2,0.25,-384.188181051841,-23.631815907954,6.26272683306287e-40,1.17860910445399e-313,0.00571368440154493
"2411","2",3,2,0.25,-384.188181051841,-23.591795897949,8.17325199947037e-40,2.40077583758525e-312,0.00571494642994219
"2412","2",3,2,0.25,-384.188181051841,-23.551775887944,1.06623373205895e-39,4.85904773083955e-311,0.00571620659735451
"2413","2",3,2,0.25,-384.188181051841,-23.511755877939,1.39038814139186e-39,9.77166236506535e-310,0.00571746490242801
"2414","2",3,2,0.25,-384.188181051841,-23.471735867934,1.81236555835593e-39,1.95255588913367e-308,0.00571872134381057
"2415","2",3,2,0.25,-384.188181051841,-23.431715857929,2.36146576643855e-39,3.87664674929195e-307,0.00571997592015191
"2416","2",3,2,0.25,-384.188181051841,-23.391695847924,3.07569747549405e-39,7.64762734430988e-306,0.00572122863010352
"2417","2",3,2,0.25,-384.188181051841,-23.351675837919,4.00434683431345e-39,1.49904593053267e-304,0.00572247947231869
"2418","2",3,2,0.25,-384.188181051841,-23.311655827914,5.21129748494649e-39,2.91958346869229e-303,0.00572372844545252
"2419","2",3,2,0.25,-384.188181051841,-23.271635817909,6.77932028785942e-39,5.64994975702479e-302,0.00572497554816192
"2420","2",3,2,0.25,-384.188181051841,-23.231615807904,8.81561363763967e-39,1.08639062560054e-300,0.0057262207791056
"2421","2",3,2,0.25,-384.188181051841,-23.1915957978989,1.14589560031866e-38,2.07560719188773e-299,0.00572746413694408
"2422","2",3,2,0.25,-384.188181051841,-23.1515757878939,1.48889360367647e-38,3.94023439723343e-298,0.0057287056203397
"2423","2",3,2,0.25,-384.188181051841,-23.1115557778889,1.93378587986187e-38,7.43218793283048e-297,0.00572994522795661
"2424","2",3,2,0.25,-384.188181051841,-23.0715357678839,2.51060976525043e-38,1.39292919633857e-295,0.00573118295846079
"2425","2",3,2,0.25,-384.188181051841,-23.0315157578789,3.2581880840407e-38,2.59393526693563e-294,0.00573241881052
"2426","2",3,2,0.25,-384.188181051841,-22.9914957478739,4.22667832467274e-38,4.7996211667227e-293,0.00573365278280387
"2427","2",3,2,0.25,-384.188181051841,-22.9514757378689,5.48085548051496e-38,8.82414264096181e-292,0.00573488487398382
"2428","2",3,2,0.25,-384.188181051841,-22.9114557278639,7.10433796086001e-38,1.61196576275246e-290,0.00573611508273313
"2429","2",3,2,0.25,-384.188181051841,-22.8714357178589,9.20502524392537e-38,2.92588222619348e-289,0.00573734340772688
"2430","2",3,2,0.25,-384.188181051841,-22.8314157078539,1.19220918380955e-37,5.27686036135013e-288,0.005738569847642
"2431","2",3,2,0.25,-384.188181051841,-22.7913956978489,1.54349792658308e-37,9.45610087886853e-287,0.00573979440115723
"2432","2",3,2,0.25,-384.188181051841,-22.7513756878439,1.99749520859631e-37,1.68370625477009e-285,0.00574101706695318
"2433","2",3,2,0.25,-384.188181051841,-22.7113556778389,2.58399429466933e-37,2.97877902822357e-284,0.00574223784371227
"2434","2",3,2,0.25,-384.188181051841,-22.6713356678339,3.34136149007998e-37,5.23634175728088e-283,0.00574345673011878
"2435","2",3,2,0.25,-384.188181051841,-22.6313156578289,4.31898289302902e-37,9.14608879593482e-282,0.00574467372485882
"2436","2",3,2,0.25,-384.188181051841,-22.5912956478239,5.58040363737212e-37,1.58730570448427e-280,0.00574588882662036
"2437","2",3,2,0.25,-384.188181051841,-22.5512756378189,7.20735395237467e-37,2.73718073298398e-279,0.0057471020340932
"2438","2",3,2,0.25,-384.188181051841,-22.5112556278139,9.30491042549991e-37,4.68990564547437e-278,0.00574831334596901
"2439","2",3,2,0.25,-384.188181051841,-22.4712356178089,1.20081098189672e-36,7.9844033866762e-277,0.00574952276094131
"2440","2",3,2,0.25,-384.188181051841,-22.4312156078039,1.54904207336341e-36,1.35063676958098e-275,0.00575073027770545
"2441","2",3,2,0.25,-384.188181051841,-22.3911955977989,1.99745905097549e-36,2.27013874530307e-274,0.00575193589495867
"2442","2",3,2,0.25,-384.188181051841,-22.3511755877939,2.57465275765515e-36,3.79126347628886e-273,0.00575313961140006
"2443","2",3,2,0.25,-384.188181051841,-22.3111555777889,3.3173061356674e-36,6.2911967408043e-272,0.00575434142573057
"2444","2",3,2,0.25,-384.188181051841,-22.2711355677839,4.27246533884089e-36,1.03729026094447e-270,0.005755541336653
"2445","2",3,2,0.25,-384.188181051841,-22.2311155577789,5.5004427982585e-36,1.69935873269615e-269,0.00575673934287203
"2446","2",3,2,0.25,-384.188181051841,-22.1910955477739,7.07852655174708e-36,2.76622542454405e-268,0.00575793544309423
"2447","2",3,2,0.25,-384.188181051841,-22.1510755377689,9.10571779840444e-36,4.47412180591973e-267,0.00575912963602802
"2448","2",3,2,0.25,-384.188181051841,-22.1110555277639,1.17087791978501e-35,7.19027948875365e-266,0.00576032192038367
"2449","2",3,2,0.25,-384.188181051841,-22.0710355177589,1.50499533636626e-35,1.14815751872596e-264,0.00576151229487338
"2450","2",3,2,0.25,-384.188181051841,-22.0310155077539,1.93368086859992e-35,1.82169182809929e-263,0.00576270075821119
"2451","2",3,2,0.25,-384.188181051841,-21.9909954977489,2.48347936070727e-35,2.87187861590811e-262,0.00576388730911303
"2452","2",3,2,0.25,-384.188181051841,-21.9509754877439,3.18832377808301e-35,4.4985751859322e-261,0.00576507194629671
"2453","2",3,2,0.25,-384.188181051841,-21.9109554777389,4.09157380439323e-35,7.00166972072042e-260,0.00576625466848195
"2454","2",3,2,0.25,-384.188181051841,-21.8709354677339,5.24861200161563e-35,1.08279437642633e-258,0.00576743547439031
"2455","2",3,2,0.25,-384.188181051841,-21.8309154577289,6.73014865900045e-35,1.66382672678902e-257,0.0057686143627453
"2456","2",3,2,0.25,-384.188181051841,-21.7908954477239,8.62642704332582e-35,2.54031711810031e-256,0.00576979133227226
"2457","2",3,2,0.25,-384.188181051841,-21.7508754377189,1.10525721468038e-34,3.85376747411135e-255,0.00577096638169848
"2458","2",3,2,0.25,-384.188181051841,-21.7108554277139,1.41553910555536e-34,5.80899246193622e-254,0.00577213950975311
"2459","2",3,2,0.25,-384.188181051841,-21.6708354177089,1.81220153179425e-34,8.70029247915399e-253,0.00577331071516721
"2460","2",3,2,0.25,-384.188181051841,-21.6308154077039,2.31908796994628e-34,1.29474614333642e-251,0.00577447999667376
"2461","2",3,2,0.25,-384.188181051841,-21.5907953976989,2.96656631649424e-34,1.91449013673981e-250,0.00577564735300761
"2462","2",3,2,0.25,-384.188181051841,-21.5507753876938,3.79329840022707e-34,2.81280337300826e-249,0.00577681278290553
"2463","2",3,2,0.25,-384.188181051841,-21.5107553776888,4.8484850722558e-34,4.10623073040079e-248,0.00577797628510622
"2464","2",3,2,0.25,-384.188181051841,-21.4707353676838,6.19471350986819e-34,5.95614219336779e-247,0.00577913785835026
"2465","2",3,2,0.25,-384.188181051841,-21.4307153576788,7.91156677227729e-34,8.58429234504527e-246,0.00578029750138017
"2466","2",3,2,0.25,-384.188181051841,-21.3906953476738,1.01001977731264e-33,1.22931073852889e-244,0.00578145521294035
"2467","2",3,2,0.25,-384.188181051841,-21.3506753376688,1.2889122942843e-33,1.74918838567511e-243,0.00578261099177715
"2468","2",3,2,0.25,-384.188181051841,-21.3106553276638,1.64415577777103e-33,2.4730291098698e-242,0.00578376483663883
"2469","2",3,2,0.25,-384.188181051841,-21.2706353176588,2.09647007699839e-33,3.47407832473738e-241,0.00578491674627557
"2470","2",3,2,0.25,-384.188181051841,-21.2306153076538,2.67214783496376e-33,4.84917342573973e-240,0.00578606671943947
"2471","2",3,2,0.25,-384.188181051841,-21.1905952976488,3.40453970442741e-33,6.72532940965118e-239,0.00578721475488456
"2472","2",3,2,0.25,-384.188181051841,-21.1505752876438,4.33593171019624e-33,9.26781038011079e-238,0.00578836085136681
"2473","2",3,2,0.25,-384.188181051841,-21.1105552776388,5.51991731234545e-33,1.26899073606429e-236,0.0057895050076441
"2474","2",3,2,0.25,-384.188181051841,-21.0705352676338,7.02439328410708e-33,1.72646388313047e-235,0.00579064722247626
"2475","2",3,2,0.25,-384.188181051841,-21.0305152576288,8.9353418867683e-33,2.33385718649081e-234,0.00579178749462505
"2476","2",3,2,0.25,-384.188181051841,-20.9904952476238,1.13616037301344e-32,3.1347924384519e-233,0.00579292582285416
"2477","2",3,2,0.25,-384.188181051841,-20.9504752376188,1.44408983129082e-32,4.18370484123826e-232,0.00579406220592924
"2478","2",3,2,0.25,-384.188181051841,-20.9104552276138,1.83474152464196e-32,5.54793058361442e-231,0.00579519664261787
"2479","2",3,2,0.25,-384.188181051841,-20.8704352176088,2.3301381957222e-32,7.3100228263516e-230,0.00579632913168955
"2480","2",3,2,0.25,-384.188181051841,-20.8304152076038,2.95811174620134e-32,9.57026980197774e-229,0.00579745967191578
"2481","2",3,2,0.25,-384.188181051841,-20.7903951975988,3.75382118862158e-32,1.24493696848141e-227,0.00579858826206997
"2482","2",3,2,0.25,-384.188181051841,-20.7503751875938,4.76166343395481e-32,1.60911943158492e-226,0.00579971490092748
"2483","2",3,2,0.25,-384.188181051841,-20.7103551775888,6.03767757840479e-32,2.06655481309731e-225,0.00580083958726565
"2484","2",3,2,0.25,-384.188181051841,-20.6703351675838,7.65256888802439e-32,2.63708004419703e-224,0.00580196231986376
"2485","2",3,2,0.25,-384.188181051841,-20.6303151575788,9.69551062522745e-32,3.34362396527827e-223,0.00580308309750303
"2486","2",3,2,0.25,-384.188181051841,-20.5902951475738,1.22789218095544e-31,4.21239685816657e-222,0.00580420191896667
"2487","2",3,2,0.25,-384.188181051841,-20.5502751375688,1.55444689395674e-31,5.2730132756631e-221,0.00580531878303984
"2488","2",3,2,0.25,-384.188181051841,-20.5102551275638,1.96706020931917e-31,6.55852507109275e-220,0.00580643368850966
"2489","2",3,2,0.25,-384.188181051841,-20.4702351175588,2.48820137439839e-31,8.1053399608291e-219,0.00580754663416522
"2490","2",3,2,0.25,-384.188181051841,-20.4302151075538,3.14615059046336e-31,9.95300038575956e-218,0.00580865761879758
